care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh
any_uf,1000,NE,income_pc,hemorrhage,842,ok,0.08907136049228571,0.009712328110688211,0.021639193823506556,0.15569678548295293,0.05393801976222562,0.11783031603378706,181,2000,20260919,2000,ok,-0.010839753709410972,0.19941254651794835,0.05463184562262119,0.25159686190986574
any_uf,1000,NE,income_pc,W,842,ok,0.17187211731078897,5.242309946656182e-07,0.10553521317888534,0.23668608560611115,0.14057649599209512,4.250482176741004e-05,181,2000,20260919,2000,ok,0.08612033012225571,0.25932585923542795,1.5726929839968546e-05,0.0007650867918133807
any_uf,1000,NE,illiteracy_10plus,hypertension,842,ok,-0.06847617445279237,0.04699231646083407,-0.13541209068093976,-0.0009180330457558795,-0.04842126179364503,0.1603821774836361,181,2000,20260919,2000,ok,-0.1631432375504822,0.030183304099001447,0.14583822349914022,0.30502123667842534
any_uf,1000,NE,illiteracy_10plus,hemorrhage,842,ok,-0.03812100787090875,0.2691922488090498,-0.10541190323639131,0.02951740417951333,-0.03008768434291112,0.3832291858562129,181,2000,20260919,2000,ok,-0.14706995249693294,0.055155878654758086,0.42504039285639444,0.5654201102796584
any_uf,1000,NE,illiteracy_10plus,W,842,ok,-0.09177766094698779,0.00770332758655279,-0.1583581155382946,-0.02436636127390946,-0.08035884872973693,0.019695428637428448,181,2000,20260919,2000,ok,-0.18849363390683815,-0.0006865770898765953,0.046219965519316744,0.07090354309474241
any_uf,1000,NE,sewer_septic,hypertension,842,ok,0.080745110699152,0.019111627713838047,0.013255032702581073,0.14750282235941256,0.10968829424160977,0.0014338645002318082,181,2000,20260919,2000,ok,0.0003282341012280998,0.16368070307880045,0.07478463018458366,0.010753983751738562
any_uf,1000,NE,sewer_septic,hemorrhage,842,ok,0.01773032411727779,0.607419040399763,-0.049891830065924306,0.08519066257079795,-0.09571433283934191,0.005442198109269119,181,2000,20260919,2000,ok,-0.07865219015913812,0.1072563093727625,0.7099703069607619,0.02721099054634559
any_uf,1000,NE,sewer_septic,W,842,ok,0.08284695876925657,0.01619225135185449,0.015370604637294942,0.14957214148256154,0.085343280376824,0.013239242670055102,181,2000,20260919,2000,ok,-0.010502585619979308,0.1712856043769881,0.06624102825758656,0.05457274038965905
any_uf,1000,AL,income_pc,hypertension,63,ok,0.2357536351842624,0.06287449846857353,-0.01275652553487477,0.45683428869448023,0.22561443932411673,0.07542027945176942,13,2000,20260919,2000,ok,-0.22089231262465892,0.45291763537500274,0.16952652595740883,0.19413201673738475
any_uf,1000,AL,income_pc,hemorrhage,63,ok,-0.08264688835808193,0.519603801099029,-0.32378183758965773,0.16856995292286137,-0.07762096774193548,0.5453960255960594,13,2000,20260919,2000,ok,-0.28601640456568145,0.2537656724625216,0.6406074260125015,0.7326215269200799
any_uf,1000,AL,income_pc,W,63,ok,0.09243894994860037,0.47117790657076575,-0.15896692453144767,0.3325867031374651,0.06816436251920123,0.5955423743138322,13,2000,20260919,2000,ok,-0.26725093389072474,0.36155488606090475,0.6058001655909846,0.7656973384034985
any_uf,1000,AL,illiteracy_10plus,hypertension,63,ok,-0.2755263116236048,0.028843077805973335,-0.4898512631323153,-0.02979527676397448,-0.22422525906238647,0.07728446726211455,13,2000,20260919,2000,ok,-0.5034115644665554,0.10224575455270274,0.09614359268657778,0.19413201673738475
any_uf,1000,AL,illiteracy_10plus,hemorrhage,63,ok,0.07753851788585452,0.5458242520074835,-0.17356085031646862,0.3191718341941453,0.02438848765735838,0.849521173431954,13,2000,20260919,2000,ok,-0.2806318857268695,0.28505474768686234,0.6632355425005915,0.9100841924635078
any_uf,1000,AL,illiteracy_10plus,W,63,ok,-0.15009787584861553,0.24032537182226318,-0.38359730648324974,0.10143959459239507,-0.1599414303749792,0.21051404372737367,13,2000,20260919,2000,ok,-0.4473828928880522,0.11172369284671872,0.40809968800006957,0.3789252787092726
any_uf,1000,AL,sewer_septic,hypertension,63,ok,0.23424945400645492,0.06462156328190918,-0.014348339580830857,0.4555735347912776,0.2567204301075269,0.04225213344917279,13,2000,20260919,2000,ok,-0.10415330845891592,0.48716266998117963,0.16952652595740883,0.13331927045462463
any_uf,1000,AL,sewer_septic,hemorrhage,63,ok,0.3153099615050605,0.011830919597815938,0.0732688989601988,0.5222735325122216,0.46673387096774194,0.00011532293746959806,13,2000,20260919,2000,ok,0.052799409800310275,0.7528660364764498,0.05678831669690175,0.001729844062043971
any_uf,1000,AL,sewer_septic,W,63,ok,0.45270757122969824,0.0001950779289111152,0.23083406592393343,0.6298278916764216,0.4949596774193549,3.727282132610028e-05,13,2000,20260919,2000,ok,0.233131378328308,0.6670585945655793,0.002194626700250046,0.0007650867918133807
any_uf,1000,BA,income_pc,hypertension,231,ok,0.2634432890166355,5.0323951233273816e-05,0.13909550583197633,0.37961238060139835,0.1974566768864028,0.0025737171139267093,32,2000,20260919,2000,ok,0.07812484381145618,0.4206129773961928,0.0006470222301420919,0.015589497504501549
any_uf,1000,BA,income_pc,hemorrhage,231,ok,0.028315801252709896,0.6685680091510232,-0.10113150497349703,0.15682030962975108,0.01049312222934707,0.8739675891881765,32,2000,20260919,2000,ok,-0.07466592101931022,0.13979373603079606,0.7559736268388836,0.9100841924635078
any_uf,1000,BA,income_pc,W,231,ok,0.17793497467050104,0.006700430480484922,0.05000580274127541,0.3001196730014206,0.16484164529139622,0.012108299787102789,32,2000,20260919,2000,ok,0.029125619657832107,0.3216839496628888,0.046219965519316744,0.05457274038965905
