territory,diagnosis,outcome,cases,care,percent_of_outcome
PE,O076,W,1,any_uf,0.00624687656171914
PE,O061,hemorrhage,408,any_uf,23.95772166764533
PE,O031,hemorrhage,365,any_uf,21.43276570757487
PE,O459,hemorrhage,287,any_uf,16.852613035819143
PE,O441,hemorrhage,139,any_uf,8.162066940692895
PE,O721,hemorrhage,103,any_uf,6.048150322959483
PE,O722,hemorrhage,96,any_uf,5.637110980622431
PE,O458,hemorrhage,89,any_uf,5.2260716382853785
PE,O450,hemorrhage,67,any_uf,3.9342337052260716
PE,O041,hemorrhage,49,any_uf,2.877275396359366
PE,O469,hemorrhage,22,any_uf,1.291837933059307
PE,O051,hemorrhage,19,any_uf,1.115678214914856
PE,O036,hemorrhage,17,any_uf,0.9982384028185555
PE,O720,hemorrhage,12,any_uf,0.7046388725778039
PE,O081,hemorrhage,9,any_uf,0.5284791544333529
PE,O056,hemorrhage,4,any_uf,0.2348796241926013
PE,O066,hemorrhage,4,any_uf,0.2348796241926013
PE,O468,hemorrhage,4,any_uf,0.2348796241926013
PE,O670,hemorrhage,4,any_uf,0.2348796241926013
PE,O694,hemorrhage,3,any_uf,0.17615971814445097
PE,O046,hemorrhage,1,any_uf,0.058719906048150326
PE,O076,hemorrhage,1,any_uf,0.058719906048150326
PE,O141,hypertension,6104,any_uf,67.66433876510365
PE,O150,hypertension,1427,any_uf,15.818645382995234
PE,O149,hypertension,773,any_uf,8.568894801019843
PE,O140,hypertension,501,any_uf,5.553708014632524
PE,O151,hypertension,119,any_uf,1.3191442190444518
PE,O152,hypertension,33,any_uf,0.36581310276022616
PE,O11,hypertension,32,any_uf,0.3547278572220375
PE,O159,hypertension,32,any_uf,0.3547278572220375
PI,O061,W,6142,any_uf,36.511710854832955
PI,O141,W,5046,any_uf,29.996433242182857
PI,O140,W,1074,any_uf,6.384496492688147
PI,O149,W,932,any_uf,5.540363809297348
PI,O85,W,704,any_uf,4.184995838782546
PI,O459,W,609,any_uf,3.620259184401379
PI,O041,W,473,any_uf,2.8117940791820235
PI,O031,W,347,any_uf,2.062774937581738
PI,O860,W,307,any_uf,1.8249910831054572
PI,O150,W,254,any_uf,1.5099274759243848
PI,O151,W,132,any_uf,0.7846867197717275
PI,O060,W,121,any_uf,0.7192961597907502
PI,O159,W,117,any_uf,0.6955177743431221
PI,O450,W,103,any_uf,0.6122934252764237
PI,O441,W,61,any_uf,0.36262037807632863
PI,O458,W,56,any_uf,0.3328973962667935
PI,O152,W,50,any_uf,0.2972298180953513
PI,O868,W,45,any_uf,0.2675068362858162
PI,O721,W,39,any_uf,0.23183925811437403
PI,O040,W,37,any_uf,0.21995006539055997
PI,O030,W,21,any_uf,0.12483652360004756
PI,O710,W,21,any_uf,0.12483652360004756
PI,O900,W,21,any_uf,0.12483652360004756
PI,O711,W,16,any_uf,0.09511354179051243
PI,O722,W,15,any_uf,0.0891689454286054
PI,O081,W,10,any_uf,0.059445963619070265
PI,O036,W,9,any_uf,0.053501367257163236
PI,O056,W,9,any_uf,0.053501367257163236
PI,O051,W,8,any_uf,0.047556770895256215
PI,O035,W,6,any_uf,0.03566757817144216
