territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
CE,2015,123229,5931,624,O061,3,0.02434491880969577,0.05058168942842691,0.4807692307692308
CE,2016,118120,5859,593,O031,19,0.16085336945479173,0.3242874210616146,3.204047217537943
CE,2016,118120,5859,593,O061,5,0.04232983406705046,0.08533879501621437,0.8431703204047217
CE,2017,117541,7066,761,O031,35,0.29776843824707977,0.4953297480894424,4.599211563731932
CE,2017,117541,7066,761,O061,7,0.059553687649415946,0.09906594961788848,0.9198423127463863
CE,2018,123311,7824,724,O031,40,0.32438306396023064,0.5112474437627812,5.524861878453039
CE,2018,123311,7824,724,O061,8,0.06487661279204612,0.10224948875255624,1.1049723756906078
CE,2019,125673,8561,826,O031,87,0.6922728032274236,1.0162364209788577,10.532687651331718
CE,2019,125673,8561,826,O061,5,0.039785793288932385,0.05840439201027917,0.6053268765133172
CE,2020,117148,8728,806,O031,101,0.8621572711441937,1.1571952337305225,12.531017369727047
CE,2020,117148,8728,806,O061,28,0.23901389695086558,0.3208065994500458,3.4739454094292803
CE,2021,118994,9417,820,O031,98,0.8235709363497319,1.040671126685781,11.951219512195122
CE,2021,118994,9417,820,O061,22,0.18488327142545002,0.2336200488478284,2.682926829268293
CE,2022,113485,8917,663,O031,91,0.8018680882936071,1.0205225972860827,13.72549019607843
CE,2022,113485,8917,663,O061,33,0.29078732872185753,0.3700796231916564,4.97737556561086
CE,2023,113897,8916,605,O031,49,0.4302132628603036,0.5495737999102737,8.099173553719009
CE,2023,113897,8916,605,O061,16,0.14047780011765015,0.17945266935845672,2.644628099173554
CE,2024,110817,8355,554,O031,52,0.4692420837958075,0.6223818073010173,9.386281588447654
CE,2024,110817,8355,554,O061,9,0.08121497604158207,0.10771992818671454,1.6245487364620939
CE,2025,113428,8932,497,O031,40,0.3526466128292838,0.4478280340349306,8.048289738430583
CE,2025,113428,8932,497,O061,6,0.05289699192439257,0.06717420510523958,1.2072434607645874
MA,2008,101997,2731,1003,O031,32,0.3137347176877751,1.171731966312706,3.1904287138584246
MA,2008,101997,2731,1003,O061,198,1.9412335656931086,7.250091541559868,19.740777666999
MA,2009,102356,2309,1002,O031,22,0.2149361053577709,0.9527934170636639,2.1956087824351296
MA,2009,102356,2309,1002,O061,164,1.602250967212474,7.102641836292768,16.367265469061877
MA,2010,103325,2012,924,O031,112,1.0839583837406241,5.566600397614314,12.121212121212121
MA,2010,103325,2012,924,O061,169,1.6356157754657634,8.399602385685885,18.29004329004329
MA,2011,98289,2218,1019,O031,114,1.1598449470439216,5.139765554553652,11.187438665358194
MA,2011,98289,2218,1019,O061,157,1.5973303218061023,7.078449053201082,15.407262021589794
MA,2012,98518,2470,1092,O031,193,1.959032867090278,7.813765182186235,17.673992673992675
MA,2012,98518,2470,1092,O061,129,1.309405387847906,5.222672064777328,11.813186813186814
MA,2013,96554,2100,416,O031,160,1.6571037968390745,7.619047619047619,38.46153846153846
MA,2013,96554,2100,416,O061,69,0.7146260123868509,3.2857142857142856,16.58653846153846
MA,2014,96706,2458,373,O031,110,1.1374682025934275,4.475183075671278,29.490616621983914
MA,2014,96706,2458,373,O061,29,0.2998779806837218,1.1798209926769732,7.774798927613941
MA,2015,98132,2366,358,O031,76,0.7744670443891901,3.212172442941674,21.22905027932961
MA,2015,98132,2366,358,O061,26,0.26494925202788083,1.098901098901099,7.262569832402234
MA,2016,88242,2535,323,O031,76,0.8612678769746832,2.998027613412229,23.529411764705884
MA,2016,88242,2535,323,O061,15,0.16998708098184537,0.591715976331361,4.643962848297214
MA,2017,95294,2922,389,O031,134,1.4061745755241672,4.58590006844627,34.447300771208226
MA,2017,95294,2922,389,O061,13,0.13641992150607593,0.44490075290896647,3.341902313624679
MA,2018,108738,3076,372,O031,110,1.011605878349795,3.576072821846554,29.56989247311828
MA,2018,108738,3076,372,O061,8,0.07357133660725781,0.26007802340702213,2.150537634408602
MA,2019,107771,3493,279,O031,70,0.6495253825240557,2.004008016032064,25.089605734767026
MA,2019,107771,3493,279,O061,10,0.09278934036057937,0.286286859433152,3.5842293906810037
MA,2020,98186,2852,337,O031,90,0.9166276251196708,3.1556802244039273,26.706231454005934
MA,2020,98186,2852,337,O061,19,0.19351027641415272,0.6661991584852734,5.637982195845697
MA,2021,106316,3352,384,O031,117,1.1004928703111478,3.490453460620525,30.46875
MA,2021,106316,3352,384,O061,7,0.06584145377929945,0.20883054892601433,1.8229166666666667
MA,2022,98486,3272,460,O031,110,1.1169100176674858,3.3618581907090466,23.91304347826087
MA,2022,98486,3272,460,O061,18,0.18276709380013403,0.5501222493887531,3.9130434782608696
MA,2023,97258,3160,416,O031,97,0.9973472619218985,3.069620253164557,23.317307692307693
MA,2023,97258,3160,416,O061,17,0.17479281909971417,0.5379746835443038,4.086538461538462
MA,2024,94078,3326,429,O031,111,1.1798720210888838,3.3373421527360194,25.874125874125873
MA,2024,94078,3326,429,O061,10,0.10629477667467421,0.30066145520144316,2.331002331002331
MA,2025,96945,4234,420,O031,96,0.9902522048584249,2.2673594709494567,22.857142857142858
MA,2025,96945,4234,420,O061,5,0.05157563566970963,0.11809163911195088,1.1904761904761905
PB,2008,54981,1919,644,O031,172,3.1283534311853187,8.963001563314226,26.70807453416149
PB,2008,54981,1919,644,O061,0,0.0,0.0,0.0
PB,2009,56575,2436,1210,O031,272,4.80777728678745,11.16584564860427,22.479338842975206
PB,2009,56575,2436,1210,O061,0,0.0,0.0,0.0
PB,2010,53128,2727,1523,O031,351,6.606685740099382,12.871287128712872,23.04661851608667
PB,2010,53128,2727,1523,O061,1,0.018822466496009636,0.03667033370003667,0.06565988181221274
PB,2011,50402,1275,278,O031,73,1.4483552239990476,5.7254901960784315,26.258992805755394
PB,2011,50402,1275,278,O061,0,0.0,0.0,0.0
PB,2012,47429,1186,189,O031,7,0.14758902780998967,0.5902192242833052,3.7037037037037037
PB,2012,47429,1186,189,O061,0,0.0,0.0,0.0
PB,2013,46804,1347,172,O031,1,0.0213656952397231,0.07423904974016332,0.5813953488372093
PB,2013,46804,1347,172,O061,0,0.0,0.0,0.0
PB,2014,48113,1327,174,O031,2,0.04156880676740174,0.15071590052750566,1.1494252873563218
PB,2014,48113,1327,174,O061,0,0.0,0.0,0.0
PB,2015,46754,1319,226,O031,1,0.021388544295675237,0.0758150113722517,0.4424778761061947
PB,2015,46754,1319,226,O061,0,0.0,0.0,0.0
PB,2016,45563,1359,201,O031,0,0.0,0.0,0.0
PB,2016,45563,1359,201,O061,2,0.04389526589557316,0.14716703458425312,0.9950248756218906
PB,2017,49889,1590,193,O031,4,0.0801779951492313,0.25157232704402516,2.0725388601036268
PB,2017,49889,1590,193,O061,2,0.04008899757461565,0.12578616352201258,1.0362694300518134
PB,2018,51450,1822,159,O031,3,0.05830903790087463,0.16465422612513722,1.8867924528301887
PB,2018,51450,1822,159,O061,7,0.1360544217687075,0.38419319429198684,4.40251572327044
PB,2019,51972,1988,176,O031,5,0.09620564919572078,0.2515090543259557,2.840909090909091
PB,2019,51972,1988,176,O061,0,0.0,0.0,0.0
PB,2020,49163,2054,254,O031,8,0.162723999755914,0.3894839337877313,3.1496062992125986
PB,2020,49163,2054,254,O061,9,0.18306449972540326,0.43816942551119764,3.543307086614173
PB,2021,48863,2235,220,O031,11,0.22511921085483905,0.49217002237136465,5.0
PB,2021,48863,2235,220,O061,5,0.10232691402492683,0.22371364653243847,2.272727272727273
PB,2022,47232,2821,258,O031,34,0.7198509485094851,1.205246366536689,13.178294573643411
PB,2022,47232,2821,258,O061,5,0.10586043360433604,0.1772421127259837,1.937984496124031
PB,2023,47945,3435,222,O031,26,0.5422880383773073,0.7569141193595342,11.711711711711711
PB,2023,47945,3435,222,O061,4,0.08342892898112421,0.11644832605531295,1.8018018018018018
PB,2024,49012,3417,251,O031,16,0.32645066514323023,0.46824700029265437,6.374501992031872
PB,2024,49012,3417,251,O061,1,0.02040316657145189,0.029265437518290898,0.398406374501992
PB,2025,48947,3556,211,O031,21,0.42903548736388336,0.5905511811023622,9.95260663507109
PB,2025,48947,3556,211,O061,2,0.04086052260608413,0.0562429696287964,0.9478672985781991
PE,2008,129115,2605,334,O031,77,0.5963675792897805,2.9558541266794625,23.05389221556886
PE,2008,129115,2605,334,O061,67,0.5189172443170816,2.5719769673704413,20.059880239520957
PE,2009,131212,2568,269,O031,60,0.45727524921501084,2.336448598130841,22.304832713754646
PE,2009,131212,2568,269,O061,78,0.5944578239795141,3.0373831775700935,28.99628252788104
PE,2010,128766,3350,353,O031,61,0.4737275367721293,1.8208955223880596,17.28045325779037
PE,2010,128766,3350,353,O061,128,0.9940512247021729,3.8208955223880596,36.26062322946176
PE,2011,125140,3619,405,O031,67,0.535400351606201,1.8513401492124897,16.54320987654321
PE,2011,125140,3619,405,O061,122,0.9749081029247243,3.3710969881182646,30.123456790123456
PE,2012,123231,3866,342,O031,100,0.8114841233131274,2.586652871184687,29.239766081871345
PE,2012,123231,3866,342,O061,13,0.10549293603070656,0.33626487325400933,3.801169590643275
PE,2013,122394,3764,482,O031,269,2.197820154582741,7.1466524973432515,55.809128630705395
PE,2013,122394,3764,482,O061,5,0.04085167573573868,0.13283740701381508,1.037344398340249
PE,2014,122750,4658,418,O031,136,1.1079429735234216,2.9197080291970803,32.535885167464116
PE,2014,122750,4658,418,O061,8,0.06517311608961303,0.17174753112924002,1.9138755980861244
PE,2015,124939,4867,313,O031,36,0.28814061261895807,0.7396753647010479,11.501597444089457
PE,2015,124939,4867,313,O061,3,0.024011717718246506,0.06163961372508732,0.9584664536741214
PE,2016,117555,5402,325,O031,39,0.33175960188847775,0.7219548315438726,12.0
PE,2016,117555,5402,325,O061,11,0.09357322104546807,0.20362828582006665,3.3846153846153846
PE,2017,122494,6398,409,O031,34,0.27756461540973437,0.5314160675211004,8.312958435207824
PE,2017,122494,6398,409,O061,7,0.05714565611376884,0.10940919037199125,1.7114914425427872
PE,2018,124776,6698,360,O031,38,0.3045457459767904,0.5673335323977307,10.555555555555555
PE,2018,124776,6698,360,O061,5,0.04007180868115663,0.0746491489997014,1.3888888888888888
PE,2019,123808,7123,443,O031,59,0.47654432669940555,0.8283026814544433,13.318284424379232
PE,2019,123808,7123,443,O061,7,0.056539157405014216,0.09827319949459497,1.580135440180587
PE,2020,109330,6435,417,O031,50,0.457331016189518,0.777000777000777,11.990407673860911
PE,2020,109330,6435,417,O061,18,0.16463916582822646,0.27972027972027974,4.316546762589928
PE,2021,109830,6903,432,O031,28,0.25493945188017847,0.40562074460379544,6.481481481481482
PE,2021,109830,6903,432,O061,7,0.06373486297004462,0.10140518615094886,1.6203703703703705
PE,2022,106114,8063,466,O031,37,0.34868160657406183,0.4588862706188763,7.939914163090129
PE,2022,106114,8063,466,O061,9,0.08481444484233937,0.11162098474513209,1.9313304721030042
PE,2023,105468,6808,440,O031,53,0.5025220920089506,0.7784958871915394,12.045454545454545
PE,2023,105468,6808,440,O061,6,0.056889293434975535,0.0881316098707403,1.3636363636363635
PE,2024,110007,6716,586,O031,92,0.8363104166098521,1.36986301369863,15.699658703071673
PE,2024,110007,6716,586,O061,14,0.1272646286145427,0.2084574151280524,2.3890784982935154
PE,2025,101795,7081,530,O031,93,0.9136008644825384,1.3133738172574496,17.547169811320753
PE,2025,101795,7081,530,O061,10,0.09823665209489661,0.14122299110295156,1.8867924528301887
PI,2008,50634,3214,1833,O031,68,1.3429711261207884,2.115743621655258,3.7097654118930716
PI,2008,50634,3214,1833,O061,1438,28.39988940237785,44.741754822650904,78.4506273867976
PI,2009,47935,3063,1557,O031,127,2.6494210910608116,4.146261834802481,8.156711624919717
PI,2009,47935,3063,1557,O061,1205,25.13820798998644,39.34051583414953,77.39242132305716
PI,2010,49985,3533,1689,O031,62,1.24037211163349,1.7548825360883102,3.670811130846655
PI,2010,49985,3533,1689,O061,1383,27.668300490147043,39.14520237758279,81.88277087033748
PI,2011,50934,3792,1775,O031,48,0.9423960419366239,1.2658227848101267,2.704225352112676
PI,2011,50934,3792,1775,O061,1424,27.957749244119842,37.552742616033754,80.22535211267606
PI,2012,45150,3220,1037,O031,42,0.9302325581395349,1.3043478260869565,4.050144648023144
PI,2012,45150,3220,1037,O061,692,15.326688815060908,21.490683229813666,66.73095467695275
PI,2013,46242,3321,1124,O031,52,1.1245188356904978,1.5657934357121348,4.6263345195729535
PI,2013,46242,3321,1124,O061,710,15.35400717962026,21.37910267991569,63.16725978647687
PI,2014,45045,3207,1046,O031,84,1.8648018648018647,2.619270346117867,8.030592734225621
PI,2014,45045,3207,1046,O061,517,11.477411477411477,16.12098534455878,49.4263862332696
PI,2015,47752,3274,1023,O031,60,1.256491874685877,1.832620647525962,5.865102639296188
PI,2015,47752,3274,1023,O061,510,10.680180934829954,15.577275503970679,49.853372434017594
PI,2016,46439,3377,1209,O031,318,6.847692672107496,9.416641989931891,26.30272952853598
PI,2016,46439,3377,1209,O061,449,9.668597515019703,13.295824696476162,37.13813068651778
PI,2017,45326,3322,1053,O031,347,7.655650178705379,10.445514750150512,32.95346628679962
PI,2017,45326,3322,1053,O061,294,6.486343379076027,8.85009030704395,27.92022792022792
PI,2018,48937,4068,1292,O031,327,6.682060608537507,8.03834808259587,25.309597523219814
PI,2018,48937,4068,1292,O061,416,8.500725422481967,10.22615535889872,32.19814241486068
PI,2019,48602,4276,1279,O031,348,7.160199168758488,8.13844714686623,27.208756841282252
PI,2019,48602,4276,1279,O061,443,9.114851240689683,10.360149672591207,34.6364347146208
PI,2020,44334,3222,951,O031,254,5.729237154328507,7.883302296710118,26.708727655099896
PI,2020,44334,3222,951,O061,280,6.3156945008345735,8.690254500310367,29.44269190325973
PI,2021,45446,3356,962,O031,351,7.723452008977688,10.458879618593564,36.486486486486484
PI,2021,45446,3356,962,O061,340,7.481406504422831,10.131108462455304,35.343035343035346
PI,2022,43500,3579,916,O031,292,6.712643678160919,8.158703548477229,31.87772925764192
PI,2022,43500,3579,916,O061,289,6.64367816091954,8.074881251746298,31.550218340611355
PI,2023,43987,3633,737,O031,161,3.660172323641076,4.431599229287091,21.845318860244234
PI,2023,43987,3633,737,O061,286,6.501921022120172,7.872281860721167,38.80597014925373
PI,2024,40267,3462,711,O031,237,5.885712866615343,6.845753899480069,33.333333333333336
PI,2024,40267,3462,711,O061,216,5.364194005016515,6.239168110918544,30.379746835443036
PI,2025,42723,3551,432,O031,138,3.23011024506706,3.886229231202478,31.944444444444443
PI,2025,42723,3551,432,O061,57,1.3341759707885683,1.6051816389749367,13.194444444444445
RN,2008,45027,1417,430,O031,32,0.7106847002909366,2.2582921665490474,7.441860465116279
RN,2008,45027,1417,430,O061,0,0.0,0.0,0.0
RN,2009,45335,1603,299,O031,8,0.17646410058453732,0.4990642545227698,2.6755852842809364
RN,2009,45335,1603,299,O061,8,0.17646410058453732,0.4990642545227698,2.6755852842809364
RN,2010,44328,2148,331,O031,8,0.18047283883775492,0.37243947858473,2.416918429003021
RN,2010,44328,2148,331,O061,0,0.0,0.0,0.0
