care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh,period,census_year
same_uf,1,SE,sewer_septic,hemorrhage,75,ok,0.19067991307022664,0.10128123225707543,-0.03792313405305941,0.40031720461057274,0.05502133712660028,0.6391761859176204,13,2000,20260919,2000,ok,-0.1947991783316441,0.4138581739881807,0.20272587350294738,0.7281754016783017,2020-2024,2022
same_uf,1,SE,sewer_septic,W,75,ok,0.17565717812319376,0.13169976490293,-0.05343498512064206,0.3871830133301094,0.08614509246088192,0.4624152239467209,13,2000,20260919,2000,ok,-0.22430239657140996,0.41439465007849363,0.22794190079353271,0.5861601430310547,2020-2024,2022
same_uf,1000,NE,income_pc,hypertension,759,ok,0.06922807959740801,0.056601623718692574,-0.0019442073102466338,0.13970254975190413,0.06093977783634759,0.09340948934915616,178,2000,20260919,2000,ok,-0.04228042935662578,0.15790428932688494,0.2014771369173553,0.240195829754973,2020-2024,2022
same_uf,1000,NE,income_pc,hemorrhage,759,ok,0.06040234074431827,0.09634094746464086,-0.010806820080946333,0.13100195156965502,0.08056975007514743,0.0264429428077826,178,2000,20260919,2000,ok,-0.013299899532733927,0.1789281305156647,0.27095891474430245,0.1487415532937771,2020-2024,2022
same_uf,1000,NE,income_pc,W,759,ok,0.11802431045518064,0.001123596983572246,0.047258522608946016,0.18761128532226196,0.08841919645312761,0.014821807246042987,178,2000,20260919,2000,ok,0.013241084168482823,0.20497784011739392,0.01026375278320642,0.10261251170337453,2020-2024,2022
same_uf,1000,NE,illiteracy_15plus,hypertension,759,ok,0.002571547724167763,0.9436131415318013,-0.06860371549191137,0.07372076580183773,0.04528855167690438,0.21266138021962455,178,2000,20260919,2000,ok,-0.11120618040535732,0.12905844864142282,0.9556154147760884,0.4253227604392491,2020-2024,2022
same_uf,1000,NE,illiteracy_15plus,hemorrhage,759,ok,-0.04380123934727933,0.2280829584655749,-0.11460671736078547,0.02744702228120237,-0.012424575002123137,0.7325424187472764,178,2000,20260919,2000,ok,-0.12570936453394543,0.029693787371995052,0.4405915877875425,0.8353763665252206,2020-2024,2022
same_uf,1000,NE,illiteracy_15plus,W,759,ok,-0.06331849912974959,0.08128187761037338,-0.1338779651281682,0.00787971505639021,-0.018134545079039867,0.6179037401721087,178,2000,20260919,2000,ok,-0.17311502835227643,0.057462915653229925,0.25225410292874495,0.7617991317190381,2020-2024,2022
same_uf,1000,NE,sewer_septic,hypertension,759,ok,0.16808502306811915,3.2199065502652646e-06,0.09809567439864626,0.23641982326091815,0.17316053142488813,1.594598678065432e-06,178,2000,20260919,2000,ok,0.07524270995528252,0.25852104692012057,0.0001448957947619369,7.175694051294444e-05,2020-2024,2022
same_uf,1000,NE,sewer_septic,hemorrhage,759,ok,0.037738223415582896,0.29911054988972224,-0.03351449041773847,0.10860925622340521,0.06469983173086732,0.07484608479767864,178,2000,20260919,2000,ok,-0.02051981412062485,0.11355281447389068,0.4894536270922728,0.21517413945962047,2020-2024,2022
same_uf,1000,NE,sewer_septic,W,759,ok,0.176903450164185,9.372271638198832e-07,0.10708887553223105,0.24498209686197717,0.18754853017469392,1.9432147447708573e-07,178,2000,20260919,2000,ok,0.08623672608326705,0.26649114594595497,8.435044474378949e-05,1.7488932702937717e-05,2020-2024,2022
same_uf,1000,AL,income_pc,hypertension,58,ok,0.2501895710664224,0.05820450622056931,-0.008666241550540884,0.4776201428553482,0.2185548617305977,0.09930675451231265,13,2000,20260919,2000,ok,-0.13444355160078889,0.4315790471973238,0.2014771369173553,0.2482668862807816,2020-2024,2022
same_uf,1000,AL,income_pc,hemorrhage,58,ok,-0.11727050756450305,0.380652755258696,-0.36452465684514035,0.14543042417585028,-0.05743025008459197,0.6684994301847265,13,2000,20260919,2000,ok,-0.325195234307907,0.2759218042427942,0.58016947228214,0.7916440620608602,2020-2024,2022
same_uf,1000,AL,income_pc,W,58,ok,0.20712329720725123,0.11875132187938002,-0.05406489965863212,0.4417840358973802,0.1873634993386447,0.15902365844825359,13,2000,20260919,2000,ok,-0.1790896262279715,0.4523793518084045,0.3143417343865942,0.3490763234229957,2020-2024,2022
same_uf,1000,AL,illiteracy_15plus,hypertension,58,ok,-0.24751286837876318,0.06103657443373791,-0.4754146576938467,0.011519356566388944,-0.24593189578270636,0.06276080763967035,13,2000,20260919,2000,ok,-0.4565043992039238,0.11042556463786483,0.2034552481124597,0.21517413945962047,2020-2024,2022
same_uf,1000,AL,illiteracy_15plus,hemorrhage,58,ok,0.28278985196659095,0.031484426544486646,0.026424190433966953,0.504253243411266,0.23897997477621583,0.07081298088949914,13,2000,20260919,2000,ok,-0.1247344589267723,0.4833932415606119,0.1416799194501899,0.21517413945962047,2020-2024,2022
same_uf,1000,AL,illiteracy_15plus,W,58,ok,-0.19392952439613692,0.14465853846396579,-0.4306533654169128,0.06776045122115186,-0.2037897197699099,0.12493560713161884,13,2000,20260919,2000,ok,-0.5137220427508712,0.19790898181706693,0.35187212058802486,0.288312939534505,2020-2024,2022
same_uf,1000,AL,sewer_septic,hypertension,58,ok,-0.12925757153853432,0.3335280961672908,-0.3750322625509957,0.13349516428371974,-0.13642375957427175,0.3071885062971888,13,2000,20260919,2000,ok,-0.46969434642651076,0.1761186188196571,0.5266233097378276,0.5249621554882159,2020-2024,2022
same_uf,1000,AL,sewer_septic,hemorrhage,58,ok,-0.3340415058725875,0.010386796439489705,-0.5452889288038157,-0.0828983234898407,-0.24199452459318962,0.06722559927748205,13,2000,20260919,2000,ok,-0.4971022821624562,0.03853828293192314,0.06232077863693823,0.21517413945962047,2020-2024,2022
same_uf,1000,AL,sewer_septic,W,58,ok,-0.1445994697545081,0.2788226065273494,-0.3883891311539302,0.11810755523551397,-0.1326709526592636,0.3208102061316875,13,2000,20260919,2000,ok,-0.5052503414539495,0.16987588063110423,0.4790406712648764,0.5249621554882159,2020-2024,2022
same_uf,1000,BA,income_pc,hypertension,185,ok,0.1098956347370948,0.13645442468229055,-0.034926710475789186,0.25019748147797083,0.15505113059695483,0.035083699157351426,32,2000,20260919,2000,ok,-0.04462555542963877,0.24035882257288835,0.34113606170572636,0.1661859433769278,2020-2024,2022
same_uf,1000,BA,income_pc,hemorrhage,185,ok,-0.03210731357592745,0.6643911001587456,-0.1755626936814086,0.1126832439598329,-0.0062658850420502,0.9325408910859019,32,2000,20260919,2000,ok,-0.10652906235421909,0.09277110061376972,0.830488875198432,0.9559307138608563,2020-2024,2022
same_uf,1000,BA,income_pc,W,185,ok,0.048084662330477534,0.5157145952018225,-0.09685583701932615,0.19102808016666667,0.13673673132972772,0.06346184571032852,32,2000,20260919,2000,ok,-0.06782414120808113,0.2171096828429941,0.7140663625871388,0.21517413945962047,2020-2024,2022
