territory,year,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000,outside_percent
PE,2010,128766,226,1538,2036,353,3350,15.811627292918939,2.7414068931239615,26.016184396502183,1.1944146746812048
PE,2011,125140,19,875,2116,405,3619,16.909061850727184,3.236375259709126,28.91961003675883,0.6992168770976507
PE,2012,123231,23,898,2237,342,3866,18.15289983851466,2.7752757017308958,31.371976207285506,0.7287127427351884
PE,2013,122394,33,790,2373,482,3764,19.38820530418158,3.9381015409252087,30.753141493864078,0.6454564766246711
PE,2014,122750,24,1157,3285,418,4658,26.761710794297354,3.405295315682281,37.94704684317719,0.9425661914460285
PE,2015,124939,45,1464,3685,313,4867,29.49439326391279,2.5052225486037187,38.95501004490191,1.1717718246504294
PE,2016,117555,35,1605,4000,325,5402,34.02662583471567,2.7646633490706476,45.95295818978351,1.365318361617966
PE,2017,122494,28,1955,4852,409,6398,39.61010335200091,3.338939050075922,52.23112968798472,1.5959965386059725
PE,2018,124776,55,2347,5180,360,6698,41.51439379367827,2.8851702250432774,53.680194909277425,1.8809706994934923
PE,2019,123808,48,2371,5318,443,7123,42.953605582837945,3.578120961488757,57.53263117084518,1.9150620315326958
PE,2020,109330,49,2260,4818,417,6435,44.06841672002195,3.81414067502058,58.85850178359096,2.0671361931766215
PE,2021,109830,18,2343,5356,432,6903,48.76627515250842,3.933351543294182,62.85167986888828,2.133296913411636
PE,2022,106114,32,2227,6365,466,8063,59.98266015794334,4.391503477392239,75.98431875153138,2.098686318487664
PE,2023,105468,46,2185,5029,440,6808,47.68270944741533,4.171881518564873,64.55038495088557,2.0717184359236924
PE,2024,110007,38,2170,4884,586,6716,44.39717472524476,5.326933740580145,61.0506604125192,1.972601743525412
PE,2025,101795,20,2007,5292,530,7081,51.98683628861929,5.20654256102952,69.56137334839629,1.9716096075445748
PI,2008,50634,10,318,1077,1833,3214,21.270292688707194,36.200971679108896,63.47513528459138,0.6280364972153099
PI,2009,47935,6,299,1247,1557,3063,26.014394492541985,32.48148534473766,63.89902993637217,0.6237613434859706
PI,2010,49985,6,304,1589,1689,3533,31.789536861058316,33.79013704111233,70.68120436130839,0.608182454736421
PI,2011,50934,18,335,1750,1775,3792,34.358189028939414,34.849020300781405,74.44928731299329,0.6577139042682687
PI,2012,45150,23,267,1946,1037,3220,43.10077519379845,22.967884828349945,71.31782945736434,0.5913621262458472
PI,2013,46242,19,198,1956,1124,3321,42.29920851174257,24.306907140694605,71.81782794861815,0.42818217205138187
PI,2014,45045,13,196,1889,1046,3207,41.935841935841935,23.22122322122322,71.1954711954712,0.43512043512043513
PI,2015,47752,19,262,1977,1023,3274,41.40140727089965,21.423186463394202,68.56257329535936,0.5486681186128329
PI,2016,46439,18,273,1879,1209,3377,40.46168091474838,26.034152328861516,72.7190507978208,0.587867955813002
PI,2017,45326,27,342,1976,1053,3322,43.59528747297357,23.231699245466178,73.29126770506994,0.7545338216476195
PI,2018,48937,17,462,2377,1292,4068,48.57265463759528,26.401291456362262,83.12728610254,0.94407094836218
PI,2019,48602,20,463,2570,1279,4276,52.87848236698078,26.31578947368421,87.97991852187153,0.952635694004362
PI,2020,44334,18,346,1984,951,3222,44.7512067487707,21.450805251048855,72.67559886317498,0.7804393918888438
PI,2021,45446,35,240,2119,962,3356,46.626765831976414,21.16797958016107,73.84588302600889,0.5280992826651411
PI,2022,43500,14,184,2394,916,3579,55.03448275862069,21.057471264367816,82.27586206896552,0.42298850574712643
PI,2023,43987,16,203,2575,737,3633,58.54002318866938,16.754950326232752,82.59258417259645,0.46149998863300523
PI,2024,40267,13,236,2450,711,3462,60.84386718652991,17.65713859984603,85.97610946929247,0.5860878635110637
PI,2025,42723,18,165,2734,432,3551,63.99363340589378,10.111649462818622,83.11682232052992,0.3862088336493224
RN,2008,45027,13,67,789,430,1417,17.522819641548406,9.54982566015946,31.470006884758035,0.14879960912341483
RN,2009,45335,9,88,1090,299,1603,24.04323370464321,6.595345759347083,35.35899415462667,0.19411051064299106
RN,2010,44328,8,84,1592,331,2148,35.914094928713226,7.46706370691211,48.456957227937195,0.18949648077964265
RN,2011,44218,16,67,1876,279,2423,42.426161291781625,6.309647654801212,54.796689131123074,0.15152200461350582
RN,2012,42761,9,66,2226,197,2738,52.056780711395895,4.607001707163069,64.03030799092632,0.15434625008769673
RN,2013,38146,8,75,1989,139,2419,52.141771090022544,3.6438945105646727,63.414250511193835,0.19661301315996435
RN,2014,41622,12,96,1785,152,2226,42.88597376387487,3.651914852722118,53.48133198789102,0.23064725385613377
RN,2015,42876,9,100,1812,129,2241,42.261404981808006,3.008676182479709,52.26700251889169,0.23323071182013247
RN,2016,41118,10,112,1908,141,2385,46.40303516708011,3.429155114548373,58.00379395885014,0.27238678924072185
RN,2017,42999,13,153,1681,184,2225,39.09393241703295,4.279169283006581,51.74538942766111,0.3558222284239168
RN,2018,46622,10,144,1879,232,2504,40.302861310111105,4.976191497576251,53.70854961177127,0.3088670584702501
RN,2019,45845,16,179,1947,264,2749,42.46918966081361,5.758534191296761,59.96291852982877,0.3904460682735304
RN,2020,44108,10,211,1777,400,2556,40.28747619479459,9.068649678062936,57.94867144282216,0.4783712705178199
RN,2021,44196,23,142,1904,325,2586,43.080821793827496,7.353606661236311,58.512082541406464,0.3212960448909404
RN,2022,39431,16,124,2050,244,2650,51.98955136821283,6.188024650655575,67.20600542720194,0.31447338388577517
RN,2023,41328,11,131,2652,230,3195,64.16957026713125,5.565234223770809,77.30836236933798,0.3169763840495548
RN,2024,39388,6,106,2660,255,3272,67.53325886056668,6.474053011069361,83.07098608713314,0.2691174977150401
RN,2025,41257,15,95,2891,274,3572,70.0729573163342,6.6412972344087065,86.57924715805802,0.23026395520760112
SE,2008,33302,9,109,210,1785,2070,6.305927571917603,53.600384361299625,62.1584289231878,0.3273076692090565
SE,2009,32019,5,115,285,1808,2192,8.900965052000375,56.46647303163746,68.45935225959586,0.3591617477122958
SE,2010,30037,8,81,307,1936,2319,10.220727769084796,64.4538402636748,77.2047807703832,0.26966741019409396
SE,2011,30324,5,70,511,1823,2452,16.85133887349954,60.11739876005804,80.86004484896452,0.23084025854108955
