territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent,value,indicator
1,1.0,Norte,2019,12,"1,2,3,4,5,6,7,8,9,10,11,12",305685.0,149.0,24283.0,666.0,305685.0,13347.0,13418.0,281.0,252.0,13347.0,3444.0,3468.0,8.0,62.0,3444.0,7675.0,7725.0,132.0,160.0,7675.0,13694.0,43.6625938466068,11.571881563233537,43.89485908696861,43.68388667783829,44.039469200674255,11.266499828254576,0.32944858543013633,11.345012022179695,11.27199413489736,11.274684344371392,25.107545348970344,5.435901659597249,25.271112419647675,25.11978948470884,25.26918623129445,7.943798354515269,19.987501301947717,pnadc_education
1,1.0,Norte,2022,12,"1,2,3,4,5,6,7,8,9,10,11,12",282937.0,129.0,23038.0,1207.0,282937.0,13180.0,13282.0,417.0,539.0,13180.0,3431.0,3448.0,16.0,30.0,3431.0,6689.0,6746.0,109.0,181.0,6689.0,13675.0,46.58280818698155,18.100529559857627,46.94331246885349,46.60405646233487,46.48962010872507,12.126374422574637,0.6945047313134821,12.186458469553292,12.131905745240587,12.110650385690462,23.641305308248832,4.731313482073096,23.842763583412562,23.652089049814716,23.605923938235637,8.14244867231928,18.330893118594435,pnadc_education
1,1.0,Norte,2023,12,"1,2,3,4,5,6,7,8,9,10,11,12",280630.0,147.0,28927.0,1021.0,280630.0,12514.0,12600.0,662.0,447.0,12514.0,3426.0,3437.0,22.0,38.0,3426.0,6430.0,6480.0,184.0,146.0,6430.0,13211.0,44.592523963938284,22.885193763611852,44.898977301072584,44.615894724457455,44.407217417184626,12.20824573281545,0.7605351401804542,12.247443252681467,12.214644024771555,12.175905135697489,22.912732067134662,6.360839354236527,23.090902611980187,22.92474053685963,22.837301123295816,10.307878701493069,18.205324650450105,pnadc_education
1,1.0,Norte,2024,12,"1,2,3,4,5,6,7,8,9,10,11,12",268193.0,105.0,30454.0,1271.0,268193.0,11721.0,11769.0,648.0,516.0,11721.0,3350.0,3364.0,20.0,44.0,3350.0,6163.0,6198.0,218.0,145.0,6163.0,12683.0,43.70360151085226,21.27799303868129,43.882577099327726,43.72071857002178,43.30186878452049,12.49100461235006,0.6567281802062126,12.543205825655406,12.49589686968458,12.382515958905852,22.979719828630873,7.158337164247718,23.110222861894233,22.988720121751065,22.813724651742888,11.355255357149515,17.402694610778443,pnadc_education
1,1.0,Norte,2025,12,"1,2,3,4,5,6,7,8,9,10,11,12",286451.0,136.0,27354.0,1708.0,286451.0,12957.0,13086.0,598.0,672.0,12957.0,4067.0,4090.0,28.0,43.0,4067.0,6993.0,7062.0,140.0,179.0,6993.0,14277.0,45.23286705230563,21.861519339036338,45.68320585370622,45.25435272339905,44.896753083430276,14.197890738730184,1.0236162901221029,14.278183703320988,14.204634755426715,14.067431450456587,24.412552234064464,5.118081450610514,24.65343112783687,24.424148228349896,24.241538884975988,9.54927718876876,16.628111409271767,pnadc_education
2,2.0,Nordeste,2016,12,"1,2,3,4,5,6,7,8,9,10,11,12",732644.0,273.0,41636.0,4051.0,732644.0,31718.0,33078.0,491.0,2003.0,31718.0,8044.0,8121.0,19.0,126.0,8044.0,16630.0,17040.0,134.0,543.0,16630.0,34104.0,43.292513144173704,11.792679412047267,45.1488035116646,43.308650943306056,43.42609455164502,10.979411555953506,0.4563358631953118,11.0845103488188,10.983504262184058,10.999173894968209,22.698609420127646,3.218368719377462,23.258226369150638,22.707070596733075,22.732983896957435,5.682978363297863,30.44830911862614,pnadc_education
2,2.0,Nordeste,2017,12,"1,2,3,4,5,6,7,8,9,10,11,12",758624.0,289.0,46131.0,4673.0,758624.0,34539.0,35787.0,735.0,2398.0,34539.0,7784.0,7897.0,27.0,148.0,7784.0,16263.0,16658.0,252.0,572.0,16263.0,36672.0,45.52848314843717,15.932886778955583,47.17356687898089,45.545833965200075,45.43834622876691,10.260682498840005,0.5852897184106133,10.409636394313916,10.264592825070714,10.25837868886855,21.437497363647868,5.462704038499057,21.958176909773485,21.445667152379883,21.406809574028124,6.080878010714135,28.791074430689285,pnadc_education
2,2.0,Nordeste,2018,12,"1,2,3,4,5,6,7,8,9,10,11,12",789002.0,327.0,45767.0,4577.0,789002.0,36654.0,38197.0,885.0,2293.0,36654.0,7737.0,7844.0,24.0,123.0,7737.0,15964.0,16381.0,183.0,534.0,15964.0,38530.0,46.45615600467426,19.33707693316145,48.41179109812143,46.47541763083653,45.95118568878398,9.806058793260346,0.5243953066620054,9.94167315165234,9.810124576029416,9.752472613417405,20.233155302521414,3.998514213297791,20.761671073077128,20.24154436237994,20.070479894672047,5.800619009837744,27.400348704382854,pnadc_education
2,2.0,Nordeste,2019,12,"1,2,3,4,5,6,7,8,9,10,11,12",779342.0,323.0,20097.0,5493.0,779342.0,38670.0,40478.0,408.0,2604.0,38670.0,8672.0,8805.0,8.0,208.0,8672.0,16922.0,17402.0,99.0,671.0,16922.0,40441.0,49.61878097164018,20.301537542916854,51.938686738299744,49.63935411074698,48.78353602724968,11.127335624154735,0.39806936358660494,11.29799240898091,11.131949284934,11.042772632861801,21.713188818259507,4.926108374384237,22.32909300409833,21.722191628188785,21.46611384288292,2.5787138380839223,26.99907883398211,pnadc_education
2,2.0,Nordeste,2022,12,"1,2,3,4,5,6,7,8,9,10,11,12",701089.0,270.0,37249.0,6401.0,701089.0,39372.0,40902.0,2144.0,2898.0,39372.0,7739.0,7940.0,48.0,273.0,7739.0,15370.0,15861.0,306.0,900.0,15370.0,41495.0,56.15834794155949,57.558592176971196,58.34066716208641,56.179983704779694,54.190472777679965,11.038541469057424,1.2886251979918923,11.32523830783253,11.042794216481003,10.815010205377863,21.923036875489416,8.214985637198314,22.623375919462436,21.931483022007107,21.43999442278736,5.3130201729024416,24.422611419621244,pnadc_education
