municipality,name,income_pc,illiteracy_10plus,sewer_septic,admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000
240600,José da Penha - RN,298.51,27.40000000000001,21.693414499169894,310,7,0,8,22.580645161290324,0.0,25.806451612903224
240610,Jucurutu - RN,299.14,29.099999999999994,31.86562915164168,1213,41,22,74,33.800494641384994,18.136850783182194,61.00577081615828
240615,Jundiá - RN,245.4,33.099999999999994,6.75146771037182,242,3,1,4,12.396694214876034,4.132231404958677,16.52892561983471
240620,Lagoa d'Anta - RN,291.03,30.599999999999994,6.6547831253713605,445,12,14,28,26.96629213483146,31.46067415730337,62.92134831460674
240630,Lagoa de Pedras - RN,212.54,33.5,8.478038815117467,497,10,2,12,20.120724346076457,4.0241448692152915,24.14486921529175
240640,Lagoa de Velhos - RN,267.29,25.0,18.68279569892473,212,7,0,7,33.0188679245283,0.0,33.0188679245283
240650,Lagoa Nova - RN,226.63,26.599999999999994,46.38783269961977,1259,55,5,61,43.68546465448769,3.971405877680699,48.451151707704526
240660,Lagoa Salgada - RN,237.12,34.5,2.2520364159080017,746,33,3,38,44.23592493297587,4.021447721179625,50.938337801608576
240670,Lajes - RN,286.4,25.099999999999994,61.07497432386169,621,23,1,26,37.03703703703704,1.6103059581320451,41.86795491143317
240680,Lajes Pintadas - RN,256.13,25.3,34.55098934550989,410,4,2,8,9.75609756097561,4.878048780487805,19.51219512195122
240690,Lucrécia - RN,388.17,22.099999999999994,72.95004712535344,234,3,0,4,12.820512820512821,0.0,17.094017094017094
240700,Luís Gomes - RN,226.42,26.8,3.8846153846153846,649,11,3,16,16.949152542372882,4.622496147919877,24.65331278890601
240710,Macaíba - RN,358.8,21.0,19.5499152237579,4731,219,13,273,46.290424857324034,2.7478334390192347,57.704502219403935
240720,Macau - RN,448.18,17.799999999999997,70.66416334193852,2589,42,8,81,16.22247972190035,3.089996137504828,31.286210892236383
240725,Major Sales - RN,281.96,26.40000000000001,20.83748753738784,272,8,0,9,29.41176470588235,0.0,33.088235294117645
240730,Marcelino Vieira - RN,277.98,27.90000000000001,31.007104053489343,587,14,1,15,23.850085178875638,1.7035775127768313,25.55366269165247
240740,Martins - RN,289.72,18.0,0.2913025384935497,461,9,2,15,19.522776572668114,4.3383947939262475,32.53796095444685
240750,Maxaranguape - RN,294.29,19.8,5.510597302504817,772,50,4,60,64.76683937823834,5.181347150259067,77.72020725388602
240760,Messias Targino - RN,348.42,30.3,17.517006802721088,229,4,0,4,17.467248908296945,0.0,17.467248908296945
240770,Montanhas - RN,244.33,27.3,5.331179321486268,817,42,31,79,51.407588739290084,37.9436964504284,96.6952264381885
240780,Monte Alegre - RN,277.5,26.90000000000001,23.586061985641745,1417,37,20,60,26.11150317572336,14.114326040931546,42.342978122794634
240790,Monte das Gameleiras - RN,255.4,27.8,25.229357798165136,199,4,2,7,20.100502512562816,10.050251256281408,35.175879396984925
240800,Mossoró - RN,590.33,13.0,64.89879370271927,17718,199,86,315,11.231515972457387,4.853820973021786,17.77853030816119
240810,Natal - RN,921.29,8.0,62.76865855419027,48307,3238,191,3787,67.02962303599892,3.953878319912228,78.39443558904506
240820,Nísia Floresta - RN,329.63,20.700000000000003,21.49239692741809,1688,44,4,55,26.066350710900473,2.3696682464454977,32.58293838862559
240830,Nova Cruz - RN,307.24,29.200000000000003,14.132434089515634,2932,67,464,544,22.85129604365621,158.2537517053206,185.53888130968622
240840,Olho d'Água do Borges - RN,285.44,32.7,2.414330218068536,219,1,1,3,4.566210045662101,4.566210045662101,13.698630136986301
240850,Ouro Branco - RN,347.55,19.599999999999994,16.846652267818573,226,4,0,4,17.699115044247787,0.0,17.699115044247787
240860,Paraná - RN,213.88,31.8,1.1586452762923352,264,2,1,3,7.575757575757576,3.787878787878788,11.363636363636363
240870,Paraú - RN,292.69,26.099999999999994,18.63636363636364,171,2,1,3,11.695906432748538,5.847953216374269,17.54385964912281
240880,Parazinho - RN,232.63,29.5,44.8559670781893,337,16,0,19,47.47774480712166,0.0,56.37982195845697
240890,Parelhas - RN,386.68,15.799999999999995,70.94115707928135,1848,91,7,102,49.24242424242424,3.787878787878788,55.1948051948052
240895,Rio do Fogo - RN,236.42,24.5,0.8956386292834891,797,49,3,55,61.480552070263485,3.764115432873275,69.00878293601004
240910,Passa e Fica - RN,258.3,30.0,59.5807402554864,766,23,5,29,30.026109660574413,6.527415143603133,37.85900783289817
240920,Passagem - RN,237.92,26.099999999999994,6.168446026097271,201,5,5,11,24.875621890547265,24.875621890547265,54.72636815920398
