territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent
RR,,RR,2012,12,"1,2,3,4,5,6,7,8,9,10,11,12",10665.0,0.0,3871.0,0.0,10665.0,521.0,593.0,69.0,0.0,521.0,195.0,200.0,0.0,0.0,195.0,239.0,250.0,12.0,0.0,239.0,521.0,48.85138302859822,17.82485145957117,55.60243788091889,48.85138302859822,49.74113279524751,18.28410689170183,0.0,18.75293014533521,18.28410689170183,17.679884726077503,22.409751523675574,3.0999741668819425,23.44116268166901,22.409751523675574,21.965318870522367,36.2962962962963
RR,,RR,2013,12,"1,2,3,4,5,6,7,8,9,10,11,12",12656.0,0.0,3879.0,1.0,12656.0,566.0,657.0,56.0,0.0,566.0,256.0,257.0,1.0,0.0,256.0,312.0,321.0,12.0,0.0,312.0,567.0,44.721871049304674,14.436710492394948,51.91213653603034,44.721871049304674,45.13807987106389,20.2275600505689,0.25779840164990975,20.306573957016436,20.2275600505689,19.73607197829869,24.652338811630848,3.0935808197989174,25.36346396965866,24.652338811630848,24.372694965713038,30.649494310998737
RR,,RR,2014,12,"1,2,3,4,5,6,7,8,9,10,11,12",10746.0,0.0,1381.0,2.0,10746.0,555.0,694.0,19.0,1.0,555.0,252.0,265.0,0.0,0.0,252.0,295.0,322.0,4.0,1.0,295.0,557.0,51.64712451144612,13.758146270818248,64.5821701098083,51.64712451144612,51.91156335778623,23.450586264656618,0.0,24.66033873069049,23.450586264656618,22.87781200502931,27.452075190768657,2.896451846488052,29.96463800483901,27.452075190768657,26.894436159362968,12.851293504559836
RR,,RR,2015,12,"1,2,3,4,5,6,7,8,9,10,11,12",12506.0,1.0,2169.0,2.0,12506.0,549.0,625.0,40.0,1.0,549.0,288.0,296.0,1.0,2.0,288.0,341.0,358.0,12.0,2.0,341.0,551.0,43.89892851431313,18.441678192715536,49.97601151447305,43.90243902439025,43.78634370892759,23.02894610586918,0.46104195481788846,23.668639053254438,23.03078768492603,22.536621723089407,27.266911882296498,5.532503457814661,28.626259395490166,27.269092363054778,26.786662502295155,17.343675035982727
RR,,RR,2016,12,"1,2,3,4,5,6,7,8,9,10,11,12",12248.0,0.0,1025.0,2.0,12248.0,524.0,606.0,13.0,0.0,524.0,240.0,241.0,0.0,0.0,240.0,285.0,290.0,2.0,0.0,285.0,529.0,42.78249510124102,12.682926829268293,49.477465708687134,42.78249510124102,42.673847199120964,19.595035924232526,0.0,19.676681907250163,19.595035924232526,19.2799363873907,23.269105160026125,1.951219512195122,23.677335075114303,23.269105160026125,22.925603294303464,8.368713259307642
RR,,RR,2017,12,"1,2,3,4,5,6,7,8,9,10,11,12",14359.0,3.0,2668.0,0.0,14359.0,615.0,682.0,17.0,0.0,615.0,370.0,371.0,0.0,0.0,370.0,443.0,455.0,4.0,0.0,443.0,620.0,42.830280660213106,6.371814092953524,47.49634375652901,42.83923098356088,42.71747894642553,25.767811128908697,0.0,25.837453861689532,25.77319587628866,25.70862975866395,30.851730621909603,1.4992503748125936,31.687443415279617,30.85817776539426,30.776381873341087,18.580681105926597
RR,,RR,2018,12,"1,2,3,4,5,6,7,8,9,10,11,12",16713.0,2.0,1718.0,0.0,16713.0,644.0,698.0,15.0,0.0,644.0,342.0,343.0,0.0,0.0,342.0,470.0,502.0,7.0,0.0,470.0,647.0,38.53287859749895,8.731082654249127,41.76389636809669,38.5374902758662,38.40226071833062,20.46311254711901,0.0,20.522946209537487,20.4655616061277,20.4295049892787,28.121821336684018,4.074505238649593,30.03649853407527,28.125187002573156,28.053417938149185,10.279423203494286
RR,,RR,2019,12,"1,2,3,4,5,6,7,8,9,10,11,12",17449.0,3.0,104.0,0.0,17449.0,714.0,751.0,0.0,0.0,714.0,403.0,407.0,0.0,0.0,403.0,531.0,555.0,0.0,0.0,531.0,715.0,40.919250386841654,0.0,43.03971574302252,40.92628682792617,40.88610761514609,23.09587942002407,0.0,23.32511891798957,23.09985096870343,23.133501270581796,30.431543354920052,0.0,31.80698034271305,30.436776338415683,30.509696745090164,0.5960226947102986
RR,,RR,2020,12,"1,2,3,4,5,6,7,8,9,10,11,12",15767.0,5.0,50.0,0.0,15767.0,650.0,681.0,0.0,0.0,650.0,394.0,400.0,0.0,0.0,394.0,500.0,519.0,0.0,0.0,500.0,651.0,41.225344073063994,0.0,43.19147586731781,41.23842152011166,41.20912653863841,24.988900868903407,0.0,25.36944250650092,24.996827813729222,25.198321876935314,31.71180313312615,0.0,32.916851652184945,31.7218627077782,31.925964381373127,0.3171180313312615
RR,,RR,2021,12,"1,2,3,4,5,6,7,8,9,10,11,12",15317.0,7.0,33.0,3.0,15317.0,568.0,600.0,0.0,2.0,568.0,345.0,351.0,0.0,0.0,345.0,436.0,452.0,0.0,2.0,436.0,568.0,37.08297969576288,0.0,39.172161650453745,37.09993468321358,36.83576407879536,22.523992949010903,0.0,22.91571456551544,22.534291312867406,22.482591976997437,28.465104132663054,0.0,29.509695110008487,28.478118876551274,28.333663042381193,0.2154468890774956
RR,,RR,2022,12,"1,2,3,4,5,6,7,8,9,10,11,12",14694.0,1.0,0.0,3.0,14694.0,561.0,599.0,0.0,2.0,561.0,372.0,376.0,0.0,0.0,372.0,452.0,477.0,0.0,2.0,452.0,590.0,38.17884850959575,,40.76493806996053,38.181446947526034,38.232094059691136,25.31645569620253,,25.58867564992514,25.318178724562717,25.408032471593295,30.76085477065469,,32.46222948142099,30.76294834274825,30.976125005210285,0.0
RR,,RR,2023,12,"1,2,3,4,5,6,7,8,9,10,11,12",12365.0,9.0,0.0,7.0,12365.0,586.0,609.0,0.0,3.0,586.0,374.0,375.0,0.0,0.0,374.0,467.0,482.0,0.0,3.0,467.0,593.0,47.3918317832592,,49.25192074403559,47.426351570087405,47.62666704733316,30.246663970885564,,30.327537403962797,30.26869537067012,30.7167544459465,37.767893247068336,,38.98099474322685,37.795403043056005,38.25535951528347,0.0
RR,,RR,2024,12,"1,2,3,4,5,6,7,8,9,10,11,12",8580.0,14.0,50.0,3.0,8580.0,300.0,317.0,1.0,1.0,300.0,140.0,144.0,0.0,0.0,140.0,231.0,244.0,0.0,1.0,231.0,319.0,34.96503496503497,20.0,36.946386946386944,35.02218071445249,35.27424651859869,16.317016317016318,0.0,16.783216783216783,16.34368433341116,16.612136312182184,26.923076923076923,0.0,28.43822843822844,26.967079150128416,27.405509814412667,0.5827505827505828
RR,,RR,2025,12,"1,2,3,4,5,6,7,8,9,10,11,12",10306.0,7.0,109.0,2.0,10306.0,502.0,579.0,0.0,1.0,502.0,212.0,225.0,0.0,0.0,212.0,274.0,311.0,0.0,1.0,274.0,515.0,48.70948961769843,0.0,56.18086551523385,48.74259636857948,48.50501009897684,20.570541432175432,0.0,21.83194255773336,20.584522769200895,20.862228933395368,26.586454492528624,0.0,30.17659615757811,26.604524711137003,26.881612716840912,1.0576363283524162
SC,,SC,2002,12,"1,2,3,4,5,6,7,8,9,10,11,12",77560.0,24.0,4613.0,152.0,77560.0,2398.0,2409.0,100.0,41.0,2398.0,1844.0,1848.0,100.0,15.0,1844.0,2991.0,3000.0,154.0,36.0,2991.0,3779.0,30.917998968540484,21.677866897897246,31.059824651882412,30.927569129178703,31.100618876459365,23.775141825683342,21.677866897897246,23.826714801444044,23.782501031778786,23.798511812892734,38.56369262506447,33.38391502276176,38.679731820526044,38.57562938505984,38.65539541040475,5.947653429602888
SC,,SC,2003,12,"1,2,3,4,5,6,7,8,9,10,11,12",70815.0,14.0,16265.0,100.0,70815.0,2216.0,2225.0,345.0,28.0,2216.0,1055.0,1057.0,214.0,10.0,1055.0,1871.0,1880.0,355.0,20.0,1871.0,2860.0,31.29280519663913,21.211189671072855,31.419896914495517,31.298992952076947,31.41632158283933,14.89797359316529,13.157085766984322,14.926216197133376,14.90091947853844,14.94240511967181,26.42095601214432,21.826006762988012,26.548047730000707,26.42618042118049,26.52340677217145,22.968297677045825
SC,,SC,2004,12,"1,2,3,4,5,6,7,8,9,10,11,12",69646.0,29.0,20461.0,118.0,69646.0,2274.0,2278.0,515.0,22.0,2274.0,858.0,859.0,241.0,5.0,858.0,1512.0,1514.0,346.0,12.0,1512.0,2734.0,32.650834218763464,25.169835296417574,32.708267524337366,32.664435410891016,32.757908117875196,12.319444045602044,11.778505449391526,12.333802371995521,12.324575893819038,12.397634419218884,21.70978950693507,16.91021944186501,21.73850615972202,21.71883304365313,21.800961519894592,29.378571633690377
SC,,SC,2005,12,"1,2,3,4,5,6,7,8,9,10,11,12",71679.0,17.0,21829.0,144.0,71679.0,2628.0,2639.0,593.0,39.0,2628.0,905.0,908.0,233.0,7.0,905.0,1604.0,1610.0,321.0,19.0,1604.0,3117.0,36.663457916544594,27.165697008566585,36.816919878904564,36.67215539616533,36.817867143892826,12.625734175979018,10.673874204040496,12.667587438440826,12.628729312606403,12.694542980399996,22.37754432958049,14.705208667369096,22.461250854504108,22.382852836928915,22.491922844977445,30.45382887596088
SC,,SC,2006,12,"1,2,3,4,5,6,7,8,9,10,11,12",70384.0,29.0,22187.0,132.0,70384.0,2669.0,2673.0,589.0,26.0,2669.0,1129.0,1130.0,318.0,5.0,1129.0,1819.0,1820.0,390.0,16.0,1819.0,3298.0,37.92055012502841,26.54707711723081,37.97738122300523,37.936180797384694,38.0173134398658,16.040577403955446,14.332717357010862,16.05478517844965,16.04718925449506,16.053732724611038,25.843941804955673,17.577860909541624,25.858149579449876,25.854594556179375,25.86029924803014,31.5227892702887
